Unicode,,99,,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,,Overlap,,,,Bindrunes
16A0,ᚠ,,,,F,f,È,¥,ƒ,™,®,+,V,v,,,,,,,,(,*,,,
,,ᚠ99,,ᚠ00,ᚠ01,ᚠ02,ᚠ03,ᚠ04,ᚠ05,ᚠ06,ᚠ07,ᚠ08,ᚠ09,ᚠ10,,,,,,,,ᚢ07,ᛕ02,,,
16A2,ᚢ,,,,u,ü,û,U,Ü,‹,(,,,,,,,,,,,,,,,
,,ᚢ99,,ᚢ00,ᚢ01,ᚢ02,ᚢ03,ᚢ04,ᚢ05,ᚢ06,ᚢ07,,,,,,,,,,,,,,,
16A6,ᚦ,,,,Q,q,Û,÷,°,Ô,ô,@,ç,Ç,,,,,,,,2,,,,
,,ᚦ99,,ᚦ00,ᚦ01,ᚦ02,ᚦ03,ᚦ04,ᚦ05,ᚦ06,ᚦ07,ᚦ08,ᚦ09,ᚦ10,,,,,,,,ᚴ10,,,,
16AE,ᚮ,,,,o,»,O,›,,,,,,,,,,,,,,,,,,
,,ᚮ99,,ᚮ00,ᚮ01,ᚮ02,ᚮ03,ᚮ04,,,,,,,,,,,,,,,,,,
16B1,ᚱ,,,,R,r,5,Ò,%,‰,6,&,å,Ê,,,,,,,,,,,,
,,ᚱ99,,ᚱ00,ᚱ01,ᚱ02,ᚱ03,ᚱ04,ᚱ05,ᚱ06,ᚱ07,ᚱ08,ᚱ09,ᚱ10,,,,,,,,,,,,
16B4,ᚴ,,,,G,g,J,K,k,¬,j,Ú,á,2,,,,,,,,,,,,
,,ᚴ99,,ᚴ00,ᚴ01,ᚴ02,ᚴ03,ᚴ04,ᚴ05,ᚴ06,ᚴ07,ᚴ08,ᚴ09,ᚴ10,,,,,,,,,,,,
16BC,ᚼ,,,,E,Ï,h,H,x,«,,,,,,,,,,,,é,e,,,
,,ᚼ99,,ᚼ00,ᚼ01,ᚼ02,ᚼ03,ᚼ04,ᚼ05,ᚼ06,,,,,,,,,,,,ᛁ04,ᛁ03,,,
16BF,ᚿ,,,,N,n,Î,ê,ú,,,,,,,,,,,,,,,,,
,,ᚿ99,,ᚿ00,ᚿ01,ᚿ02,ᚿ03,ᚿ04,ᚿ05,,,,,,,,,,,,,,,,,
16C1,ᛁ,,,,i,Ì,e,é,,,,,,,,,,,,,,E,,,,
,,ᛁ99,,ᛁ00,ᛁ01,ᛁ02,ᛁ03,ᛁ04,,,,,,,,,,,,,,ᚼ01,,,,
16C6,ᛆ,,,,A,à,a,Á,â,À,æ,,,,,,,,,,,O,Ä,á,,
,,ᛆ99,,ᛆ00,ᛆ01,ᛆ02,ᛆ03,ᛆ04,ᛆ05,ᛆ06,ᛆ07,,,,,,,,,,,ᚮ03,ᚯ02,ᚴ09,,
16CC,ᛌ,,,,s,?,S,ß,7,|,8,[,§,c,C,X,3,¤,,,,,,,,
,,ᛌ99,,ᛌ00,ᛌ01,ᛌ02,ᛌ03,ᛌ04,ᛌ05,ᛌ06,ᛌ07,ᛌ08,ᛌ09,ᛌ10,ᛌ11,ᛌ12,ᛌ13,ᛌ14,,,,,,,,
16D0,ᛐ,,,,T,t,{,‡,d,D,©,¡,Í,0,,,,,,,,,,,,
,,ᛐ99,,ᛐ00,ᛐ01,ᛐ02,ᛐ03,ᛐ04,ᛐ05,ᛐ06,ᛐ07,ᛐ08,ᛐ09,ᛐ10,,,,,,,,,,,,
16D2,ᛒ,,,,B,b,è,1,$,p,w,¢,W,,,,,,,,,›,,,,
,,ᛒ99,,ᛒ00,ᛒ01,ᛒ02,ᛒ03,ᛒ04,ᛒ05,ᛒ06,ᛒ07,ᛒ08,ᛒ09,,,,,,,,,ᚮ04,,,,
16D8,ᛉ,,,,M,m,ª,4,º,Ë,,,,,,,,,,,,Y,y,,,
,,ᛉ99,,ᛉ00,ᛉ01,ᛉ02,ᛉ03,ᛉ04,ᛉ05,ᛉ06,,,,,,,,,,,,ᛣ01,ᛣ02,,,
16DA,ᛚ,,,,l,É,I,£,L,,,,,,,,,,,,,,,,,
,,ᛚ99,,ᛚ00,ᛚ01,ᛚ02,ᛚ03,ᛚ04,ᛚ05,,,,,,,,,,,,,,,,,
16E3,ᛣ,,,,Y,y,Ù,=,Â,,,,,,,,,,,,,(,,,,
,,ᛣ99,,ᛣ00,ᛣ01,ᛣ02,ᛣ03,ᛣ04,ᛣ05,,,,,,,,,,,,,ᚢ07,,,,
16AF,ᚯ,,,,ø,Ä,Ø,ö,\,Ö,ä,,,,,,,,,,,,,,,
,,ᚯ99,,ᚯ00,ᚯ01,ᚯ02,ᚯ03,ᚯ04,ᚯ05,ᚯ06,ᚯ07,,,,,,,,,,,,,,,
16D5,ᛕ,,,,P,*,Ó,,,,,,,,,,,,,,,,,,,
,,ᛕ99,,ᛕ00,ᛕ01,ᛕ02,ᛕ03,,,,,,,,,,,,,,,,,,,
